headline,Positive,Neutral,Negative,Compound
"5 Bands the NME Lovingly, Relentlessly Championed",0.45,0.281,0.269,0.3751
Outrage Over Footage of Police Officer Beating a Black Man in North Carolina,0.0,0.636,0.364,-0.743
"How Xi Jinping Made His Power Grab: With Stealth, Speed and Guile",0.0,0.894,0.106,-0.0772
"Columbia Removes Thomas Jessell, Renowned Neuroscientist, From His Posts",0.0,1.0,0.0,0.0
The Snow Before the Storm,0.0,1.0,0.0,0.0
A Sucker for Vampire Stories,0.0,0.541,0.459,-0.5267
U.S. Forest Service Chief Resigns Amid Sexual Harassment Accusations,0.0,0.426,0.574,-0.7964
"E.C.B. Shifts Guidance, as Europe Moves Toward Normalcy",0.0,1.0,0.0,0.0
Adam Rippon Is Famous. What Now?,0.0,1.0,0.0,0.0
"Overlooked No More: Lillias Campbell Davidson, an Early Advocate for Women’s Cycling",0.0,0.752,0.248,-0.3182
"Overlooked No More: Charlotte Brontë, Novelist Known for ‘Jane Eyre’",0.0,0.708,0.292,-0.3182
"Florida Gun Bill: What’s in It, and What Isn’t",0.0,0.769,0.231,-0.34
From the Death Desk: Why Most Obituaries Are Still of White Men,0.0,0.738,0.262,-0.5994
How an Obits Project on Overlooked Women Was Born,0.0,0.879,0.121,-0.0258
Word + Quiz: gradual,0.0,1.0,0.0,0.0
Trevor Noah Doesn’t Think Trump White House Has ‘Great Energy’,0.0,1.0,0.0,0.0
How to Cut Down on Unwanted Junk Mail,0.0,0.6,0.4,-0.4588
Peek,0.0,1.0,0.0,0.0
A Trade Skirmish Is Underway. That Doesn’t Mean a Trade War Is Near.,0.0,0.755,0.245,-0.5994
China Vows Retaliation if Trump Engages in Trade War,0.155,0.543,0.302,-0.4404
"2 Films Come to the London Stage, With Losses and Gains",0.17,0.638,0.191,-0.0772
Teaching Activities for: ‘Google Researchers Are Learning How Machines Learn’,0.0,1.0,0.0,0.0
"Beauty, Pride and Power in Photos by Lola Flash",0.47,0.53,0.0,0.7351
Danish Inventor Accused of Submarine Murder Takes the Stand,0.0,0.504,0.496,-0.7845
What to Pack for 36 Hours in Auckland,0.0,1.0,0.0,0.0
Should Prisons Offer Incarcerated People Education Opportunities?,0.302,0.698,0.0,0.3818
Luis Alberto Urrea: By the Book,0.0,1.0,0.0,0.0
How to Plan a Movie-Themed Vacation,0.0,1.0,0.0,0.0
"As Subway Crisis Takes Up ‘So Much Oxygen,’ the Buses Drag Along",0.0,0.625,0.375,-0.7184
36 Hours in Auckland,0.0,1.0,0.0,0.0
"Venturing Into the Swamp, Trump Dines With Major Donors",0.0,1.0,0.0,0.0
West Virginia Walkouts a Lesson in the Power of a Crowd-Sourced Strike,0.0,0.758,0.242,-0.296
"Stock Markets Are Scary. Suddenly, It’s a Good Time to be a Trader.",0.17,0.643,0.187,-0.0772
Beyond Frank Lloyd Wright: A Broader View of Art in Chicago,0.0,1.0,0.0,0.0
Lionel Richie Wants to Teach You How to Be a Real ‘American Idol’,0.0,1.0,0.0,0.0
Norman Rockwell’s Vision of F.D.R.’s Four Freedoms,0.457,0.543,0.0,0.4939
The All-Important Dog Run,0.0,1.0,0.0,0.0
Art Museums in Puerto Rico Face Long and Expensive Recovery,0.0,1.0,0.0,0.0
"Suicides, Drug Addiction and High School Football",0.0,1.0,0.0,0.0
U.S. Allies Sign Sweeping Trade Deal in Challenge to Trump,0.126,0.874,0.0,0.0772
Cigna to Buy Express Scripts in $52 Billion Health Care Deal,0.242,0.758,0.0,0.4939
"News Changes Fast, but Polls Keep Snapping Back Into Place ",0.0,1.0,0.0,0.0
The Leeway in President Trump’s Tariff Order: DealBook Briefing,0.0,1.0,0.0,0.0
Murmurings of Dissent Upset China’s Script for Xi’s Power Grab,0.0,0.776,0.224,-0.3818
The Animal Underneath,0.0,1.0,0.0,0.0
"A Review of the Samsung Galaxy S9, in Emoji",0.0,1.0,0.0,0.0
"International Women’s Day 2018: Beyond #MeToo, With Pride, Protests and Pressure",0.166,0.552,0.283,-0.1779
Wife of Iranian-Canadian Who Died in Jail Is Barred from Leaving Iran,0.0,0.753,0.247,-0.5574
"In Seattle, a Seahawks Defense That Flowed Together Drifts Apart",0.143,0.857,0.0,0.128
Homes for Sale in New York and New Jersey,0.0,1.0,0.0,0.0
Homes for Sale in Manhattan and Brooklyn,0.0,1.0,0.0,0.0
How We Identified Burned Villages in the Democratic Republic of Congo,0.0,1.0,0.0,0.0
Jittery From Stock Market Volatility? Don’t Run. Just Hug.,0.279,0.721,0.0,0.4767
Condos With Extras on the Side,0.0,1.0,0.0,0.0
Collapse Leaves Trae Young and Oklahoma Awaiting N.C.A.A. Fate,0.0,0.714,0.286,-0.4939
Alan Cumming Helps CBS Unfurl Its Rainbow Flag With ‘Instinct’,0.224,0.776,0.0,0.3818
"A New Publisher for Farrar, Straus & Giroux",0.0,1.0,0.0,0.0
The NME Bows Out of Print. We’ll Miss the Inky Fingers.,0.0,0.624,0.376,-0.6633
"Year-Round Daylight Saving Time? Florida Says Yes, but It’s Not So Simple",0.144,0.856,0.0,0.2144
A Young Collector Continues the Family Tradition in SoHo,0.0,1.0,0.0,0.0
Ex-Russian Spy ‘Stable’ After Nerve Agent Attack in U.K.,0.0,0.721,0.279,-0.4767
"Bubbles, With Joy: Pétillant Naturel’s Triumphant Return",0.59,0.41,0.0,0.802
Why Can’t a Modern Woman Pay (at Least) Half?,0.0,0.851,0.149,-0.1027
A Joyful Homecoming Cut Short,0.433,0.333,0.233,0.4215
Get to Know the Colors on Paul Taylor’s Palette,0.0,1.0,0.0,0.0
The Pigeon Stalker,0.0,1.0,0.0,0.0
Anti-Muslim Extremists Retweeted by Trump Are Convicted of Hate Crimes,0.0,0.709,0.291,-0.5719
Teaching With: ‘Arctic Boyhood’,0.0,1.0,0.0,0.0
A War Reporter Finds Refuge by Switching to Fiction,0.0,0.672,0.328,-0.5994
How to Use Interesting Photos to Help Students Become Better Writers,0.509,0.491,0.0,0.8074
"The Week in Good News: A Penguin Supercolony, an Indigenous Roller Derby Team and a Message in a Bottle",0.139,0.861,0.0,0.4404
‘Dr. Seuss’ the Grinch’ Trailer: Benedict Cumberbatch Stars,0.0,1.0,0.0,0.0
"For the Dodgers, Less (Time on the Mound) Is More (Wins)",0.285,0.715,0.0,0.6115
"Tillerson, in Africa, Dodges Questions on Vulgarity and Trolling",0.0,1.0,0.0,0.0
"Trump Authorizes Tariffs, Defying Allies at Home and Abroad",0.0,1.0,0.0,0.0
Jon Favreau to Pen Live-Action ‘Star Wars’ Streaming Series,0.0,1.0,0.0,0.0
An Uptown Artistic Director Moves Downtown,0.0,1.0,0.0,0.0
How One Child’s Sickle Cell Mutation Helped Protect the World From Malaria,0.191,0.809,0.0,0.3818
"The Finest vs. the Bravest, on the Ice",0.32,0.68,0.0,0.5106
Did You Love ‘Babylon Berlin’? Here’s What to Watch Next,0.318,0.682,0.0,0.6369
‘Sopranos’ Creator Will Bring a Prequel to Movie Screens,0.0,1.0,0.0,0.0
It’s True: False News Spreads Faster and Wider. And Humans Are to Blame.,0.173,0.679,0.148,0.1027
Michael B. Jordan Adopts an Inclusion Rider for His Company,0.159,0.841,0.0,0.1779
‘I Am a Pawn’: Trump’s Immigration Fight With California Squeezes Those Caught in the Middle,0.0,0.843,0.157,-0.3818
"Colombia Rebel Ends Presidential Campaign, in Blow to Peace Process",0.267,0.611,0.122,0.4404
Clocks Slow in Europe? Blame Kosovo-Serbia Row,0.0,0.714,0.286,-0.34
"What’s Going On in This Graph? | March 13, 2018",0.0,1.0,0.0,0.0
Shopping for Marmite With Harry Hadden-Paton,0.0,1.0,0.0,0.0
Japan Wants More Women in Construction. Pink Toilets May Not Be Helping.,0.0,0.854,0.146,-0.2235
How Russian Trolls Crept Into the Trump Campaign’s Facebook Messages,0.0,1.0,0.0,0.0
"Canadians Share Quebec Tips, Infused With a Love of La Belle Province",0.39,0.61,0.0,0.7506
7 Martin Margiela Fans and Collaborators Remember His Most Radical Show,0.0,1.0,0.0,0.0
"Manhood, Growing Up in the 21st Century and Ideal Cities: Our Favorite Student Comments This Week",0.384,0.616,0.0,0.7964
How Much Watching Time Do You Have This Weekend?,0.0,1.0,0.0,0.0
"In Sri Lanka, Facebook Contends With Shutdown After Mob Violence",0.0,0.687,0.313,-0.6249
Amazon Knows Why Alexa Was Laughing at Its Customers,0.412,0.588,0.0,0.5994
6 Classical Music Concerts to See in NYC This Weekend,0.0,1.0,0.0,0.0
3 Film Series to Catch in NYC This Weekend,0.0,1.0,0.0,0.0
10 Plays and Musicals to Go to in NYC This Weekend,0.167,0.833,0.0,0.25
22 Art Exhibitions to View in NYC This Weekend,0.0,1.0,0.0,0.0
7 Comedy Shows to Catch in NYC This Weekend,0.238,0.762,0.0,0.3612
10 Dance Performances to See in NYC This Weekend,0.0,1.0,0.0,0.0
7 Things to Do With Your Kids in NYC This Weekend,0.0,1.0,0.0,0.0
"13 Pop, Rock and Jazz Concerts to Check Out in NYC This Weekend",0.0,1.0,0.0,0.0
"Russia’s Greatest Problem in Syria: Its Ally, President Assad",0.302,0.504,0.194,0.3612
"Days Before Slaying, Nanny Was ‘Worried, Anxious, Frightened’",0.0,0.778,0.222,-0.25
A Storm of Reaction to Trump’s Tariffs,0.0,1.0,0.0,0.0
Louisville Bows Out of A.C.C. Tournament and Now Waits for a Call,0.0,1.0,0.0,0.0
"No Dancing, No Swaying: Saudi Pop Concert Comes With Warning",0.14,0.519,0.341,-0.4043
"Ex-Leader of Baltimore County Schools, a Tech Booster, Pleads Guilty to Perjury",0.0,0.637,0.363,-0.6908
Parkland 911 Calls Are Released: ‘Someone’s Shooting Up the School’,0.0,1.0,0.0,0.0
Empathy From a Pro,0.0,1.0,0.0,0.0
What History Has to Say About the ‘Winners’ in Trade Wars,0.0,0.735,0.265,-0.5574
Health Officials Assail ‘Pricing Schemes’ That Gouge Patients,0.0,1.0,0.0,0.0
The Top 10 Moments of Fashion Month,0.231,0.769,0.0,0.2023
"Under Trump, U.S. Launched 8 Airstrikes Against ISIS in Libya. It Disclosed 4.",0.111,0.889,0.0,0.128
When Mortal Kombat Came Under Congressional Scrutiny,0.0,1.0,0.0,0.0
"Deadly Storm Fells Trees, Causing Travel Woes and Power Outages",0.0,0.756,0.244,-0.4404
"Trump’s Latest Tariff Strategy: Less Trade War, and More Let’s Make a Deal",0.0,0.768,0.232,-0.5606
Yale Rape Verdict Shows How ‘Yes Means Yes’ Can Be Murkier in Court,0.092,0.636,0.272,-0.6249
"North Korea Asks for Direct Nuclear Talks, and Trump Agrees",0.167,0.833,0.0,0.2023
Steve Cash Was Already the World’s Best Sled Hockey Goalie. Then He Got a Coach.,0.231,0.769,0.0,0.6369
Trump Administration Blocks Idaho’s Plan to Circumvent Health Law,0.0,0.808,0.192,-0.2263
Trump Draws ‘Lively’ Opinions on Video Game Violence but Shrouds His Own,0.0,0.812,0.188,-0.3716
Judge Floats Idea to Settle @realDonaldTrump Twitter Blocking Case,0.0,0.755,0.245,-0.3818
Annual Battle Over Raising Rents in New York Begins,0.0,0.755,0.245,-0.3818
Obama in Talks to Provide Shows for Netflix,0.0,1.0,0.0,0.0
Why G.O.P. Is Spending Millions on a Soon-to-Vanish Seat in Trump Country,0.0,1.0,0.0,0.0
Little Evidence Supports Trump’s Claims Against China on Tariffs and Trade,0.182,0.818,0.0,0.3008
Stormy Daniels Lawsuit Opens Door to Further Trouble for Trump,0.0,0.635,0.365,-0.5574
"One Hotel in Panama, but Two Competing Websites (and a Single Mention of Trump)",0.0,1.0,0.0,0.0
On the Tip of Your Tongue,0.0,1.0,0.0,0.0
How ‘The Daily’ Sounds Out the News,0.0,1.0,0.0,0.0
Los Angeles Rams Rebuilding Defense in Wade Phillips’ Image,0.158,0.842,0.0,0.128
Word of Trump-Kim Summit Meeting Stirs Concern in Asia,0.0,1.0,0.0,0.0
It’s Us Against a Particle of Dust,0.0,1.0,0.0,0.0
" Trump and Kim Jong-un, and the Names They’ve Called Each Other",0.0,1.0,0.0,0.0
"Kim Dynasty Sat Down With a U.S. Leader Before, With Few Results",0.0,1.0,0.0,0.0
Word + Quiz: conflagration,0.0,1.0,0.0,0.0
Serena Williams and Victoria Azarenka Set the Stage for a Comeback,0.0,1.0,0.0,0.0
Stephen Colbert Cracks North Korea Jokes on the Fly,0.2,0.8,0.0,0.25
"Ex-Model, Mob Suspect and a Murder Could Bring Down Slovakia’s Government",0.0,0.566,0.434,-0.7845
Teaching Activities for: ‘‘Decolonizing’ Roller Derby? Team Indigenous Takes Up the Challenge’,0.0,1.0,0.0,0.0
"At the Crossroads of Church and Race, a Reporter Glimpses His Childhood",0.0,1.0,0.0,0.0
Notes From the Book Review Archives,0.0,1.0,0.0,0.0
Merck C.E.O. Ken Frazier on Death Row Cases and the Corporate Soul,0.0,0.738,0.262,-0.5994
"Secrets, Lies and a Murder (or Three) in the Latest Y.A. Crossover Novels",0.0,0.595,0.405,-0.8176
New Contemporary Art Institute Reverberates in Richmond’s Historic Landscape,0.0,1.0,0.0,0.0
"For Prince Harry and Meghan Markle, a Royal Wedding. For the Rest of Us: Royal Tours",0.0,1.0,0.0,0.0
"At a Copenhagen Hotel, Scandinavian Style and Seasonal Seafood",0.0,1.0,0.0,0.0
Using Art to Help the Police Understand Racism,0.211,0.469,0.32,-0.34
Houseplants for Beginners,0.0,1.0,0.0,0.0
"At the Hayden Planetarium, a Joyride Across the Cosmos",0.208,0.792,0.0,0.2732
Some Roommates Are Green. That’s a Good Thing.,0.293,0.707,0.0,0.4404
A Quiet Exodus: Why Black Worshipers Are Leaving White Evangelical Churches,0.16,0.84,0.0,0.2263
Standout New Picture Books,0.0,1.0,0.0,0.0
"U.S. Added 313,000 Jobs in February. Here’s What That Means.",0.0,1.0,0.0,0.0
"Al Sharpton, Reconsidered",0.0,1.0,0.0,0.0
"What’s New in Photography? Humanism, MoMA Says",0.0,1.0,0.0,0.0
Plant-Loving Millennials at Home and at Work,0.0,1.0,0.0,0.0
Family Harmony of the Musical Kind,0.604,0.396,0.0,0.7269
"After 50 Years at the Met Opera, Paul Plishka Retires (Again)",0.0,1.0,0.0,0.0
Can I Catch the Same Cold Twice?,0.0,1.0,0.0,0.0
Reckless Driving and the Limits of Vision Zero,0.187,0.561,0.252,-0.1779
"From Crayons to Chemo, He’s Back by Her Side",0.0,1.0,0.0,0.0
Road to Talks Between the U.S. and North Korea Has Been Bumpy,0.0,1.0,0.0,0.0
Ship,0.0,1.0,0.0,0.0
"How Taryn Toomey, Fitness Guru, Spends Her Sundays",0.231,0.769,0.0,0.2732
Who Do You Think Has Been ‘Overlooked’ By History?,0.0,1.0,0.0,0.0
Will Goldman’s Blankfein Depart by the End of the Year?: DealBook Briefing,0.0,1.0,0.0,0.0
"This Week: Al Pacino, Yo La Tengo, Meredith Monk’s Multisensory Music",0.0,1.0,0.0,0.0
How Do You Teach People to Love Difficult Music?,0.307,0.511,0.182,0.4019
How He Brought Trump and Kim Jong-un Together,0.0,1.0,0.0,0.0
"Ask Your Doctor. Until Then, Here’s a Word From Our Sitcom.",0.0,1.0,0.0,0.0
Kevin’s Week in Tech: Is Silicon Valley Really Over?,0.0,1.0,0.0,0.0
A Members-Only Medical Center for Hudson Yards Locals,0.0,1.0,0.0,0.0
Winter Paralympics Open in Cheery Mood,0.419,0.581,0.0,0.5574
‘We Should Unite’: Kenya’s Top Political Rivals Hold Surprise Meeting,0.328,0.672,0.0,0.4404
International Soccer’s Man of Mystery,0.0,1.0,0.0,0.0
The Economy Is Looking Awfully Strong,0.418,0.582,0.0,0.5563
How Much Is Martin Shkreli’s One-of-a-Kind Wu-Tang Album Worth?,0.192,0.808,0.0,0.2263
Belgium Drops Rapper from World Cup Song After Sexism Outcry,0.0,0.732,0.268,-0.5106
I Saw Myself in ‘A Wrinkle in Time.’ But I Had to Work Hard.,0.0,0.89,0.11,-0.1531
Giovanni Ribisi Has Been Conned. So Have You.,0.0,1.0,0.0,0.0
A (Shaggy) Star Is Reborn: Netflix Brings Us a New ‘Benji’,0.0,1.0,0.0,0.0
Ibsen Wrote ‘An Enemy of the People’ in 1882. Trump Has Made It Popular Again.,0.145,0.674,0.181,-0.1779
"With ‘Rise,’ a ‘Friday Night Lights’ for Theater Kids",0.0,1.0,0.0,0.0
‘RuPaul’s Drag Race All Stars’: Who’s Ornacia?,0.0,0.759,0.241,-0.2263
Markelle Fultz’s Lonely Search for His Jump Shot,0.0,0.737,0.263,-0.3612
Fitting Growing Kids Into Small Spaces,0.254,0.746,0.0,0.1779
What to Cook This Weekend,0.0,1.0,0.0,0.0
7 Big Things to Understand About Trump’s Talks With North Korea,0.0,1.0,0.0,0.0
Times Scholarship Winners Excelled Through Adversity,0.521,0.248,0.231,0.5423
Snipers Slam Shut an Escape Hatch From a Syrian Hell,0.107,0.44,0.453,-0.7579
"Preparing for the 2020 Census, One Address at a Time",0.0,1.0,0.0,0.0
U.S. Allies Jostle to Win Exemptions From Trump Tariffs,0.322,0.678,0.0,0.5859
A Treat for Lemon Lovers and Beyond,0.55,0.45,0.0,0.7269
Tiger Woods Stays Near Top of Valspar Championship Leaderboard,0.402,0.598,0.0,0.5719
"London Auctions Play It Safe With the Tried, the Trusted and the Dead",0.387,0.415,0.198,0.4767
"Turkey Sentences 24 Journalists to Prison, Claiming Terrorism Ties",0.079,0.397,0.523,-0.8271
Why Louis Farrakhan Is Back in the News,0.0,1.0,0.0,0.0
"The Playlist: Sade’s Haunting Lullaby, and 11 More New Songs",0.0,0.811,0.189,-0.2732
"Andy Griffiths, the Down-Under Kids’ Author Known for His Butt Jokes, Now Builds and Builds on His Hit ‘Treehouse’ Series",0.095,0.905,0.0,0.25
"Longer Trains, High-Tech Signals and Robots: Subway ‘Genius’ Ideas Announced",0.0,1.0,0.0,0.0
Hazaras Protest After an ISIS Attack Kills 10 in Kabul,0.0,0.449,0.551,-0.8225
Stock Markets Jump in Response to Jobs Report,0.0,1.0,0.0,0.0
He Wouldn’t Become an Informant. Now He’s Headed for Prison.,0.0,0.732,0.268,-0.5106
"‘Deception’ and ‘Instinct,’ the Latest Shows Trying to Be ‘Castle’",0.0,1.0,0.0,0.0
Was Ashlee Simpson Underappreciated? Discuss,0.0,1.0,0.0,0.0
‘There Are a Lot of Stories That Need to Be Told’,0.0,1.0,0.0,0.0
A Bank President Bridges Cultures in Downtown Los Angeles,0.0,1.0,0.0,0.0
"A Take on Shepherd’s Pie, Straight From the Farm",0.192,0.808,0.0,0.2263
When a Good Friend Becomes a Terrible Colleague,0.43,0.352,0.218,0.4588
Ronen Bergman on Israel’s Targeted Assassinations,0.0,0.575,0.425,-0.5719
The White Sox Add to Their Cuban Connection,0.0,1.0,0.0,0.0
7 Ways to Judge a Retirement Community’s Financial Health,0.0,1.0,0.0,0.0
"Interest on Home Equity Loans Is Still Deductible, but With a Big Caveat",0.143,0.857,0.0,0.25
"Leopoldo López Speaks Out, and Venezuela’s Government Cracks Down",0.0,1.0,0.0,0.0
Martin Shkreli Sentenced to 7 Years in Prison for Fraud,0.0,0.461,0.539,-0.802
"A Problem for High Schools: More Cars, and Nowhere to Park Them",0.0,0.803,0.197,-0.4019
"In Philadelphia, Ballet Neighbors Divided by Style",0.0,1.0,0.0,0.0
One State’s Quest to Introduce Long-Term Care Benefits,0.492,0.508,0.0,0.7003
The E.P.A. Chief Wanted a Climate Science Debate. Trump’s Chief of Staff Stopped Him.,0.0,0.872,0.128,-0.2263
Britain to Sell Jets to Saudis Despite Conduct of Yemen War,0.0,0.719,0.281,-0.5994
Former North Carolina Police Officer Who Beat Black Man Is Charged With Assault,0.0,0.663,0.337,-0.6808
<div>Frida Kahlo Is a Barbie Doll Now. (Signature Unibrow Not Included.)</div>,0.0,1.0,0.0,0.0
Oksana Masters’s Road From a Ukrainian Orphanage to Paralympic Stardom,0.0,1.0,0.0,0.0
"As ‘A Wrinkle in Time’ Hits Screens, Read These Books",0.0,1.0,0.0,0.0
Watch the High-Flying Physics of a Plant’s Exploding Fruits,0.0,1.0,0.0,0.0
"Florida Governor Signs Gun Limits Into Law, Breaking With the N.R.A.",0.0,0.806,0.194,-0.34
Where’s Harvey?,0.0,1.0,0.0,0.0
Google Is Trying Too Hard (or Not Hard Enough) to Diversify,0.111,0.769,0.12,-0.0268
"Seeking Cheaper Health Insurance, Idaho Bucks Affordable Care Act",0.286,0.714,0.0,0.4939
Controlled Madness: The Week’s Best Classical Music Moments on YouTube,0.278,0.53,0.192,0.3182
5 Things T Editors Like Right Now,0.294,0.706,0.0,0.3612
‘If You Can’t Have Fun on a Disney Cruise ...’,0.268,0.732,0.0,0.5106
A Battle Over Trade Crashes the Bull Market’s Birthday Party,0.203,0.602,0.195,0.0258
Council May Defy Mayor With an Alternate Review of the City Charter,0.0,1.0,0.0,0.0
The Little-Known Trade Adviser Who Wields Enormous Power in Washington,0.0,1.0,0.0,0.0
"With Checkups and Chickpea Pasta, the Mets Get Healthier. But Better?",0.278,0.722,0.0,0.5927
When Hollywood Is Your Mirror,0.0,1.0,0.0,0.0
Trump’s Tariff Threat Sends Fear Through a Canadian Steel Town,0.0,0.548,0.452,-0.765
Plumes Seen at Plutonium Plant May Belie Kim’s Disarmament Talk,0.0,1.0,0.0,0.0
British Investigators Visit Graves of Russian Ex-Spy’s Wife and Son,0.0,0.804,0.196,-0.296
Chancellor’s First Day in Office Is Set,0.0,1.0,0.0,0.0
Open Thread: This Week in Style News,0.0,1.0,0.0,0.0
Planning Begins for Kim Jong-un Meeting Some Trump Aides Believe Will Never Happen,0.0,1.0,0.0,0.0
"You Spoke, We Listened. Our Quebec Road Trip Takes Shape: The Canada Letter",0.0,1.0,0.0,0.0
Steve Bannon Is Done Wrecking the American Establishment. Now He Wants to Destroy Europe’s.,0.0,0.788,0.212,-0.5423
What We’re Reading,0.0,1.0,0.0,0.0
"He Had the Treasonous Uncle Killed, but He Forgave the Disloyal Chef",0.18,0.523,0.297,-0.25
"After Demanding Local Control, DeVos Finds That It Limits Her Influence",0.0,0.84,0.16,-0.2263
Remember When Athletes Didn’t Have to Specialize? These Hall of Famers Do,0.0,1.0,0.0,0.0
De Blasio Embarks on a 5-Day Swing Through the South,0.0,1.0,0.0,0.0
Quebec Doctors Make a Pay Demand: Don’t Raise It,0.0,0.707,0.293,-0.2263
Washington’s Unloved Subway Opens a Swag Shop. Riders Aren’t Rushing the Doors.,0.0,0.791,0.209,-0.4404
AT&T Backs Off Political Argument in Antitrust Case,0.0,0.619,0.381,-0.4019
"Far From Home and Censors, Some Chinese Students Protest Xi’s Power Move",0.0,0.704,0.296,-0.4939
Eugenie Bouchard Has One Victory and Many Setbacks Off the Court,0.0,1.0,0.0,0.0
Sluggers,0.0,1.0,0.0,0.0
"Trump’s Military Parade Plans Come Into Focus: Planes, but No Tanks",0.0,0.781,0.219,-0.4215
Gunman and 3 Hostages Found Dead at California Veterans Home,0.0,0.677,0.323,-0.6486
Grayson Allen Finds a New Way to Trip an Opponent; Duke Loses to U.N.C.,0.0,0.85,0.15,-0.3182
Hong Kong’s Democracy Movement Fears New Setback in Legislative Vote,0.0,0.763,0.237,-0.4215
Trade War Prospect Shakes Part of Trump Base: Midwest Farmers,0.156,0.567,0.277,-0.4019
11 of Our Best Weekend Reads,0.457,0.543,0.0,0.6369
Adoption Across Racial and Ethnic Lines: ‘These Relationships Are Always Going to Be in Flux’,0.0,1.0,0.0,0.0
Colombia’s Museum of Modern Art Celebrates Its 40th Year,0.316,0.684,0.0,0.5719
Virtual Reality Lets Rare Works of Art Take a Field Trip,0.0,1.0,0.0,0.0
A Childhood Hobby Matures Into a World-Class Collection,0.0,1.0,0.0,0.0
‘ISIS Is Coming!’ How a French Company Pushed the Limits in War-Torn Syria,0.0,1.0,0.0,0.0
"In Britain’s Playgrounds, ‘Bringing in Risk’ to Build Resilience",0.0,1.0,0.0,0.0
A Destination Restaurant in Remote Sweden Gets a Pop-Up Pairing,0.0,1.0,0.0,0.0
Huma Bhabha Takes an Ax to Her Exhibit at the Met,0.0,1.0,0.0,0.0
Trump Rollbacks Target Offshore Rules ‘Written With Human Blood’,0.0,1.0,0.0,0.0
Turning the Rubble of China’s Mass Evictions Into Protest Art,0.0,0.818,0.182,-0.25
Listen to ‘Dear Sugars’: Consent Part 1 — With Jaclyn Friedman,0.16,0.84,0.0,0.2263
When the Cause of a Sexless Relationship Is — Surprise! — the Man,0.166,0.834,0.0,0.3382
Dial P for Privacy: The Phone Booth Is Back,0.0,1.0,0.0,0.0
The Man Who Knew Too Little,0.0,1.0,0.0,0.0
Superman Locks Up a Heart in Tokyo,0.412,0.588,0.0,0.6369
"For Starters, Snoop Dogg and Neil Gorsuch",0.0,1.0,0.0,0.0
"Roger Penske, IndyCar’s Grand Old Man, Shows No Signs of Slowing Down",0.197,0.658,0.145,0.2023
"As India’s Tensions Boil, Even a Statue of Gandhi Isn’t Safe",0.199,0.616,0.185,0.0516
Syrian Rebels Agree to Evacuate Qaeda-Linked Fighters From Eastern Ghouta,0.2,0.56,0.24,0.128
When Organic Waste Pickup Gets a No From Your Landlord,0.0,0.615,0.385,-0.6124
Our 20 Most Popular Pasta Recipes,0.382,0.618,0.0,0.4754
What’s the World’s Fastest-Growing Economy? Ghana Contends for the Crown,0.0,1.0,0.0,0.0
"Big East Puts Basketball on a Pedestal, and Likes How It Looks",0.203,0.797,0.0,0.4215
"Manchester United Tops Liverpool, Without Artistry and, Significantly, Without Pogba",0.433,0.567,0.0,0.7269
"Variety: Six of One, Half a Dozen of the Other",0.0,1.0,0.0,0.0
Trump to Make First Visit as President to Latin America,0.0,1.0,0.0,0.0
Kevin Ollie Is Out as UConn Coach,0.0,1.0,0.0,0.0
"With Snap ‘Yes’ in Oval Office, Trump Gambles on North Korea",0.0,1.0,0.0,0.0
Trump’s Unpredictability on Trade and North Korea Opens a Door for China,0.0,1.0,0.0,0.0
Dropbox Chief to Join Elite Ranks of Idea-to-I.P.O. Founders,0.216,0.784,0.0,0.296
"Out of Public View, Trumps and Kushners Are Talking Business",0.0,1.0,0.0,0.0
Christopher Liddell Is Front-Runner to Become Trump’s Top Economic Adviser,0.167,0.833,0.0,0.2023
"Syrian Kurds: U.S. Allies, but Followers of Leader Jailed as Terrorist",0.0,0.453,0.547,-0.9161
Trump’s Warning Shot on Trade Risks Igniting a Wider Conflict,0.0,0.507,0.493,-0.7003
Clinton Impeachment Lawyer May Aid Trump in Mueller Response,0.0,1.0,0.0,0.0
A Young Monk Finds Her Calling,0.0,1.0,0.0,0.0
The Challenge of Writing Sylvia Plath’s New York Times Obituary 55 Years After She Died,0.073,0.726,0.201,-0.5106
"In Chile, a Billionaire Takes the Reins From a Socialist, Again",0.0,1.0,0.0,0.0
Man Arrested in Fatal Police Shooting After 15-Hour Standoff,0.0,0.515,0.485,-0.765
A Cover Design That Renders Overlooked Women Visible,0.0,0.864,0.136,-0.0258
"If Found, Call …",0.0,1.0,0.0,0.0
‘Let Them Call You Racists’: Bannon’s Pep Talk to National Front,0.0,1.0,0.0,0.0
Paralympic Skiers Confront the Scars That Linger From Sochi,0.0,0.825,0.175,-0.1779
Violence Strikes a Veterans Program That Strove to Prevent It,0.075,0.476,0.449,-0.7579
Opioid Protest at Met Museum Targets Donors Connected to OxyContin,0.0,0.818,0.182,-0.25
Ending Term Limits for China’s Xi Is a Big Deal. Here’s Why.,0.0,1.0,0.0,0.0
Summits of Adversaries: They Haven’t Always Worked Out So Well,0.215,0.628,0.157,0.188
"In Tiger Woods’s Surging Play, a Steady Caddie",0.255,0.745,0.0,0.34
Trump Hosts Fiery Rally on the Heels of a Whirlwind Week,0.0,0.806,0.194,-0.34
A Horse Walked Into a Miami Beach Nightclub. Now Nobody Else Can.,0.0,1.0,0.0,0.0
